treat,druh,herb,strom,WB,Hong
meja,ostruh,0.022034242,1,424.9,5.18575E-05
meja,ostruh,0.006762961,2,597.5,1.13188E-05
meja,ostruh,0.000715059,3,301.4,2.37246E-06
meja,ostruh,0.046995642,4,168.9,0.000278245
meja,ostruh,0.014331628,5,479.2,2.99074E-05
meja,ostruh,0,6,253.4,0
meja,ostruh,0.048096708,7,314.2,0.000153077
meja,ostruh,0,8,240.5,0
meja,pid,0.052289881,9,114,0.000458683
meja,pid,0.008466715,10,128.3,6.59915E-05
meja,pid,0,11,73.8,0
meja,pid,0.001975166,12,98.7,2.00118E-05
meja,pid,0,13,64.1,0
meja,pid,0.004987116,14,128.5,3.88102E-05
meja,pid,0.036106676,15,58.6,0.000616155
meja,pid,0.016414513,16,54.7,0.000300083
kontr,ostruh,0.024120108,17,363.2,6.641E-05
kontr,ostruh,0,18,305.3,0
kontr,ostruh,0.00074546,19,434.5,1.71567E-06
kontr,ostruh,0,20,161.6,0
kontr,ostruh,0.05035035,21,479.1,0.000105094
kontr,ostruh,0,22,226.1,0
kontr,ostruh,0.081824051,23,479.6,0.000170609
kontr,ostruh,0.027456932,24,522.3,5.25693E-05
kontr,pid,0.004371965,25,67.3,6.49623E-05
kontr,pid,0.008336362,26,104,8.01573E-05
kontr,pid,0.001106552,27,99.4,1.11323E-05
kontr,pid,0.021040712,28,94.5,0.000222653
kontr,pid,0.003500252,29,83.9,4.17193E-05
kontr,pid,0.029691095,30,86.9,0.00034167
kontr,pid,0.000221306,31,84.3,2.62522E-06
kontr,pid,0.032939289,32,64.6,0.000509896
